iter	Passed	Remaining
0	0	97
1	2	108
2	2	96
3	3	87
4	4	93
5	6	94
6	7	101
7	8	102
8	13	137
9	14	130
10	15	123
11	15	117
12	16	112
13	17	110
14	19	109
15	20	106
16	21	103
17	21	99
18	23	98
19	24	96
20	24	93
21	26	92
22	27	90
23	27	87
24	28	85
25	29	83
26	30	82
27	31	80
28	32	78
29	32	76
30	33	74
31	34	72
32	35	71
33	36	70
34	37	68
35	38	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	52	44
54	53	43
55	53	42
56	54	41
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	57	33
63	58	32
64	58	31
65	59	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	63	22
74	64	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	14
82	68	14
83	69	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	73	6
92	102	7
93	103	6
94	104	5
95	104	4
96	105	3
97	106	2
98	107	1
99	107	0
